Test ID,Area,Human action,Expected result,Actual result,PASS/FAIL,Comment
HE-12,Excel↔PDF Ground Truth,D_Excel_matching.json(A)とC_PDF_matching.json(B)を照合する,4件が正しく対応し、誤対応が0件（説明文1件は対応なしでよい）,,,
HE-13,Dictionary Snapshot set,G_sample_dictionary_snapshot.json をMatchingツールの辞書Snapshot欄に設定する,Snapshotが有効化され、識別情報が画面に表示される,,,
HE-14,"Dictionary effect - baseline (Snapshot未設定)","I_dictionary_effect_json_a.json をJSON Aに、J_dictionary_effect_json_b.json をJSON Bに読み込む（Snapshotは設定しない・タグ利用はデフォルトのままでよい）。照合結果一覧（Detail）で、JSON A表示名の末尾が『回転式旋回レバー 有効 合格』となっている行（非常停止スイッチの行）を探し、展開ボタン（▶）があれば展開する。","この行の『照合JSON B件数』が 0 と表示される（展開ボタンが出ない場合も正しい挙動＝対応する候補が無い状態）。この時点では辞書による対応関係が一切生じていないことを確認する。次のHE-15で同じ行を使い、Snapshot設定後との違いを比較する。",,,
HE-15,"Dictionary effect - Snapshot設定後（同じ行・同じ元データ）","HE-14と同じJSON A/Bを読み込んだまま（読み込み直し不要）、「照合ロジック設定」タブで K_dictionary_snapshot.json を辞書Snapshot欄に設定し、「タグ生成を有効化」「タグを照合に使用」の両方にチェックを入れて「再照合して反映」を押す。照合結果一覧で、HE-14と同じ非常停止スイッチの行（『回転式旋回レバー 有効 合格』）を展開する。","展開した行に次のすべてが表示されることを確認する： (1) 接続先としてEMOの行が1件表示される（『照合JSON B件数』が1に変化）、(2) confidence が 0.88、method が tag、(3) 辞書の行に『辞書寄与あり』の表示、(4) 元の語（original term）として EMO、(5) 解決区分として APPROVED_ALIAS、(6) 解決後の正規語（resolved canonical）として『非常停止スイッチ』。HE-14（0件・辞書関与なし）とHE-15（1件・辞書寄与あり、上記詳細つき）を見比べ、Snapshotの有無でどう変わったかを自分の言葉で説明できるか確認する。",,,
HE-16,Detail / provenance,照合結果一覧（Detail）で個々の対応の根拠を確認する,どのフィールドがどう一致したかが表示される,,,
HE-17,Graph,グラフタブを開く,ノードが表示される（インターネット接続が必要な場合あり）,,,
HE-18,Excel output,照合結果をExcelへ出力する,xlsxファイルがダウンロードされる（インターネット接続が必要な場合あり）,,,
HE-19,Human understanding,画面を見て「何と何を比較しているか」が分かるか確認する,A側・B側それぞれの対象が明確に分かる,,,
HE-20,Human trust,ある照合結果について「なぜこの結果になったか」を自分で説明できるか確認する,根拠列・スコア・方式から理由を説明できる,,,
HE-21,"Dictionary effect - present but unused（誤解を避ける表示の確認）","HE-15と同じ照合結果画面のまま、JSON A表示名が『冷却水ポンプ 定格流量100L/分以上 105L/分』の行を展開する。","展開した行の照合根拠が method: exact（タイトル一致）であること、かつ辞書の行が『辞書寄与あり』ではなく『辞書解決あり・この照合には未使用』と表示されることを確認する。この行にも辞書の別名解決情報自体は存在するが、実際の対応関係の決め手にはなっていない、という区別がUI上で明確に分かるか確認する（『辞書情報が乗っている＝辞書が使われた』という誤解が起きないかどうかの確認）。",,,
HE-22,"Excel出力 - JSON A基準／B基準の同一edge確認","HE-15の状態のまま『照合結果一覧Excel出力』ボタンでExcelを保存し、開く。","ワークブックに次の4シートが存在することを確認する：照合結果一覧／照合結果_JSON_A基準／照合結果_JSON_B基準／辞書照合根拠。照合結果_JSON_A基準シートで非常停止スイッチの行（照合JSON B件数=1）を、照合結果_JSON_B基準シートでEMOの行（照合JSON A件数=1）をそれぞれ探し、両シートで confidence（最大信頼度）が同じ 0.88、方式が同じ tag、照合根拠の文言が同じであることを確認する。同一の対応関係が両基準から一貫して確認できるか、という点を評価する。",,,
RA-01-01,"Supplemental Adversarial - Reviewer RA-01 (A→B, cross-format)","Supplemental/RA-01/RA-01_A_pdf_like.json をJSON Aに、Supplemental/RA-01/RA-01_B_excel_like.json をJSON Bに読み込み、既定の自動照合ペアのまま照合する（A→B方向）。","正解6件（FCU-1↔FCU-1, OU-1↔OU-1, OU-2↔OU-2, IU-2↔IU-2, VEU-1↔VEU-1, CP-1↔CP-1）のみがedgeとして表示され、誤対応は0件であること。特に A-OU1↔B-OU2 のような『ユニット/室外/室内/200V/冷房能力/定格容量』等の共通語だけによる誤対応、A-HU1↔B-DP1 の対応が生じていないことを確認する（A-HU1・B-DP1 は対応なしのままでよい）。Supplemental/RA-01/RA-01_ground_truth.json のauto_matching.A_to_Bと突き合わせること。",,,
RA-01-02,"Supplemental Adversarial - Reviewer RA-01 (B→A, cross-format)","同じ2ファイルをA/B逆にして照合する（B→A方向）。","RA-01-01と対称の正解6件のみ、誤対応0件であること。Supplemental/RA-01/RA-01_ground_truth.json のauto_matching.B_to_Aと突き合わせる。",,,
RA-01-03,"Supplemental Adversarial - Reviewer RA-01 (A→A, self-match)","RA-01_A_pdf_like.json をJSON A・JSON Bの両方に読み込み照合する。","7件の自己対応（FCU-1・OU-1・OU-2・IU-2・VEU-1・CP-1・HU-1がそれぞれ自分自身と対応）が表示され、誤対応は0件であること。Supplemental/RA-01/RA-01_ground_truth.json のauto_matching.A_to_Aと突き合わせる。",,,
RA-01-04,"Supplemental Adversarial - Reviewer RA-01 (B→B, self-match)","RA-01_B_excel_like.json をJSON A・JSON Bの両方に読み込み照合する。","7件の自己対応（FCU-1・OU-1・OU-2・IU-2・VEU-1・CP-1・DP-1がそれぞれ自分自身と対応）が表示され、誤対応は0件であること。Supplemental/RA-01/RA-01_ground_truth.json のauto_matching.B_to_Bと突き合わせる。",,,
RA-01-05,"Supplemental Adversarial - Manual Code Test C1 (厳密equipment_code)","照合ペアを手動で equipment_code↔equipment_code・方式コード(code) のみに設定し、A→Bで照合する。","6件の正解のみ、誤対応0件であること（自然文フィールドを一切使っていないので、この結果は照合方式=codeが本来コードらしい値だけを見ていることの確認になる）。",,,
RA-01-06,"Supplemental Adversarial - Manual Code Test C2 (混在equipment_code_name)","照合ペアを手動で equipment_code_name↔equipment_code_name・方式コード(code) のみに設定し、A→Bで照合する。","6件の正解のみ、誤対応0件であること。特に『ビル』『ユニット』『室外』『室内』のような自然文の共通語だけを根拠にした対応が1件も無いこと、OU-1とOU-2が語頭共通（プレフィックス）だけで混同されていないことを確認する。",,,
HVAC-01,"Supplemental Adversarial - User HVAC (A→B, 独立評価データ)","Supplemental/User-HVAC/A_hvac_requirement_spec.json をJSON Aに、Supplemental/User-HVAC/B_hvac_delivery_spec.json をJSON Bに読み込み、既定の自動照合ペアのまま照合する（A→B方向）。","正解4件（FCU-1↔FCU-1, OU-1↔OU-1, IU-2↔IU-2, OU-2↔OU-2、Supplemental/User-HVAC/expected_relationships.csv 参照）のみが表示され、誤対応は0件であること。改修前はここで5件の誤対応が生じていた（Supplemental/User-HVAC/HVAC_EVALUATION_SUMMARY_5ea48fc4_BASELINE.csv のHVAC-R01参照、修正前baseline・現在の判定には使用しない。詳細はSupplemental/User-HVAC/README_JA.md参照）ため、誤対応が無くなっていることを重点的に確認する。",,,
HVAC-02,"Supplemental Adversarial - User HVAC (B→A, 独立評価データ)","同じ2ファイルをA/B逆にして照合する（B→A方向）。","RA-01-02と同様、正解4件のみ、誤対応0件であること（HVAC-R02参照）。",,,
RA-02-01,"Supplemental Adversarial - Config State RA-02 (S0: 自動推定/未設定)","Supplemental/RA-02/RA-02_A.json をJSON Aに、Supplemental/RA-02/RA-02_B.json をJSON Bに読み込み、照合ペアを一切手動変更せず、既定の自動照合ペアのまま照合する。","2件の正解（RA02-A1↔RA02-B1, RA02-A2↔RA02-B2）のみが表示され、誤対応は0件であること。「照合ロジック設定」タブの照合ペア一覧に、有効(チェック済み)な行が1件以上あることも確認する。",,,
RA-02-02,"Supplemental Adversarial - Config State RA-02 (S1: 有効な照合ペア1件を明示的にOFF)","「照合ロジック設定」タブで、trace_title↔trace_title の照合ペアのチェックを外し(OFF)、他の照合ペアが無い状態にして「再照合して反映」を押す。","照合結果が0件になること（照合結果一覧・グラフともに対応関係が表示されない）。ステータス欄に『有効な照合ペアがありません。照合は実行されません。』と表示されること。『自動推定しました』のような、自動ペアに戻ったかのような表示が出ないことを確認する。",,,
RA-02-03,"Supplemental Adversarial - Config State RA-02 (S2: 複数の有効な照合ペアをすべてOFF)","RA-02-02の状態から、trace_text↔trace_text 等の他の照合ペアも追加した上で、それら全ての照合ペアのチェックを外し(すべてOFF)、「再照合して反映」を押す。","複数の有効な照合ペアが存在していても、すべて明示的にOFFにした場合は照合結果が0件になること。1件でもチェックが入った照合ペアが自動的に復元されないことを確認する（RA-02-02と同じ現象が、ペア数が複数でも成立することの確認）。",,,
RA-02-04,"Supplemental Adversarial - Config State RA-02 (S3: 一部だけ有効化 + 復元動作)","trace_title↔trace_title のチェックのみ入れ(ON)、他の照合ペアはOFFのまま「再照合して反映」を押す。その後、OFFにしていた照合ペアのチェックを再度入れて(ON)、もう一度「再照合して反映」を押す。","前半: 有効化した trace_title↔trace_title のペアだけを根拠に、2件の正解が表示されること（他のOFFペアが暗黙に復元されて誤対応を生まないこと）。後半: すべてのペアを再度ONにすると、RA-02-01と同じ2件の正解に戻ること（OFF状態が可逆であり、内部状態が壊れていないことの確認）。",,,
MM-00,"Samples/Matching-Methods - 00_AUTO（自動キー推定）","Samples/Matching-Methods/00_AUTO/A.json・B.jsonを読み込み、照合ペアを手動変更せず既定の自動照合ペアのまま照合する。","GROUND_TRUTH.jsonの通りAUTO-A1↔B1・AUTO-A2↔B2の2edgeのみ表示され、展開行の照合方法が「完全一致 (exact)」と表示されること。",,,
MM-01,"Samples/Matching-Methods - 01_EXACT（完全一致）","01_EXACT/A.json・B.jsonを読み込み、照合ペアをmatch_name↔match_name・方式exactに設定して照合する。","EX-A1↔B1・EX-A2↔B2の2edgeのみ、展開行の照合方法が「完全一致 (exact)」と表示されること。",,,
MM-02,"Samples/Matching-Methods - 02_PARTIAL（部分一致）","02_PARTIAL/A.json・B.jsonを読み込み、照合ペアをmatch_text↔match_text・方式contains（包含一致）に設定して照合する。","PAR-A1↔B1・A2↔B2・A3↔B3の3edge、展開行の照合方法が「部分一致 (partial)」と表示されること（設定はcontainsだが結果methodはpartialになる点を確認）。",,,
MM-03,"Samples/Matching-Methods - 03_CODE（コード一致）","03_CODE/A.json・B.jsonを読み込み、照合ペアをcode_and_name↔code_and_name・方式codeに設定して照合する。","CODE-A1↔B1・A2↔B2の2edge、展開行の照合方法が「コード一致 (code)」と表示されること。",,,
MM-04,"Samples/Matching-Methods - 04_MODEL（モデル名一致）","04_MODEL/A.json・B.jsonを読み込み、照合ペアをmodel_name↔model_name・方式modelに設定して照合する。","MODEL-A1↔B1・A2↔B2の2edge、展開行の照合方法が「モデル名一致 (model)」と表示されること。",,,
MM-05,"Samples/Matching-Methods - 05_SYNONYM（業務辞書同義語一致）","05_SYNONYM/A.json・B.jsonを読み込み、業務辞書business_dictionary.jsonを読み込んだ上で、照合ペアをterm↔term・方式synonymに設定して照合する。","SYN-A1↔B1・A2↔B2の2edge、展開行の照合方法が「同義語一致 (synonym)」と表示されること。",,,
MM-06,"Samples/Matching-Methods - 06_FUZZY（表記ゆれ類似一致）","06_FUZZY/A.json・B.jsonを読み込み、照合ペアをfuzzy_text↔fuzzy_text・方式fuzzyに設定して照合する。","FUZ-A1↔B1・A2↔B2・A3↔B3の3edge、展開行の照合方法が「類似一致 (fuzzy)」と表示されること。",,,
MM-07,"Samples/Matching-Methods - 07_VECTOR（TF-IDFベクトル類似）","07_VECTOR/A.json・B.jsonを読み込み、照合ペアをvector_text↔vector_text・方式vectorに設定して照合する。","VEC-A1↔B1・A2↔B2・A3↔B3の3edge、展開行の照合方法が「ベクトル類似 (vector)」と表示されること。",,,
MM-08,"Samples/Matching-Methods - 08_TAG（明示タグ一致）","08_TAG/A.json・B.jsonを読み込み、照合ペアは設定せず「タグ設定」でタグ照合を有効化(enabled・照合に使用する)して照合する。","TAG-A1↔B1・A2↔B2の2edge、展開行の照合方法が「タグ一致 (tag)」と表示されること（辞書由来ではない明示タグの例）。",,,
MM-09,"Samples/Matching-Methods - 09_HIERARCHY（階層ゲート）","09_HIERARCHY/A.json・B.jsonを読み込み、照合ペアをmatch_text↔match_text・方式contains、階層ゲート(useHierarchyGate)は既定のONのまま照合する。","HIER-A1↔HIER-B-CHILDが「完全一致 (exact)」、HIER-A1↔HIER-B-PARENTが「階層判定 (hier)」・信頼度0.72で表示されること。より具体的な子側候補が優先され、親側候補が降格・説明される様子を確認する。",,,
MM-10,"Samples/Matching-Methods - 10_AMBIGUOUS_EXACT_NEGATIVE（非一意完全一致の安全側負例）","10_AMBIGUOUS_EXACT_NEGATIVE/A.json・B.jsonを読み込み、照合ペアをmatch_name↔match_name・方式exactに設定して照合する。","edgeが0件であること（同一値が複数行に存在する非一意な完全一致が、安全側で抑制されることの確認）。",,,
MM-11,"Samples/Matching-Methods - 11_PRIVATE_DICTIONARY（Approved Dictionary Snapshot効果）","11_PRIVATE_DICTIONARY/A.json・B.jsonを読み込み、まずSnapshot未設定のまま照合（5edge・EMO edgeなしを確認）。次にK_dictionary_snapshot.jsonを「照合ロジック設定」タブから設定し、タグ設定を有効化して再照合する。","Snapshot設定後は6edgeに増え、非常停止スイッチ↔EMOの行が追加され、展開行の照合方法が「タグ一致 (tag)」・信頼度0.88と表示されること。",,,
MM-12,"Samples/Matching-Methods - 12_CONFIG_ALL_OFF（全照合ペアOFF）","12_CONFIG_ALL_OFF/RA-02_A.json・RA-02_B.jsonを読み込み、有効な照合ペアをすべて明示的にOFFにして再照合する。","edgeが0件になり、ステータス欄に『有効な照合ペアがありません。照合は実行されません。』と表示されること（自動ペアへの復元が起きないことの確認）。",,,
MM-13,"Samples/Matching-Methods - 13_AUTO_SYNONYM（JSON自動同義語候補生成）","13_AUTO_SYNONYM/A.json・B.jsonを読み込み、照合ペアをterm↔term・方式synonymに設定した上で「JSONから候補生成」を実行し再照合する。","3件の同義語候補群（循環冷却水ポンプ・給気送風機・差圧監視用スイッチを基準語とする候補）が生成されること。auto-synonymは既定confidence(0.65)がminConfidence(0.7)未満のため、既定のacceptedエッジには自動昇格せず、学習（フィードバック）タブの候補一覧に「自動同義語一致 (auto-synonym)」として現れることを確認する（これは仕様通りの挙動であり、不具合ではない）。",,,
MM-14,"Samples/Matching-Methods - 14_ML_FEEDBACK（フィードバック学習ワークフロー）","14_ML_FEEDBACK/A.json・B.jsonを読み込み、学習（フィードバック）タブで照合ペア一覧を生成、A1-B1/A2-B2/A3-B3を正例(○)、無関係な照明盤の組み合わせを負例(×)としてラベル付けし、学習実行後、モデル適用をON/OFFで切り替えて再照合する。","教師ラベルの由来がHuman(manual_label)として保持されること。モデル適用ONでは各ペアの学習後predict値(prob列)とruleScore列が両方確認できること。モデル適用OFFに戻すと通常のrule confidence（method=exact, confidence=1）に戻ることを確認する。",,,
MM-15,"Samples/Matching-Methods - 15_LONG_TEXT_CHUNK（長文チャンク照合）","15_LONG_TEXT_CHUNK/A.json・B.jsonを読み込み、照合ペアをtrace_text↔trace_text・方式autoに設定。まずチャンク設定(chunkSettings.enabled)をOFFのまま照合し、次にONにして再照合する。","OFF/ONいずれの状態でもCH-A1↔B1の1edgeのみが表示され、無関係なedgeが増えないこと（方式は基礎ruleに依存して変わってよいが、正しいP-401ペアが両状態で維持されることを確認する）。",,,
